id,master_mix_chain_id,master_option_id,rate
1,8,127,20
2,9,127,20
3,12,127,20
4,13,127,20
5,18,127,20
6,19,127,20
7,8,154,20
8,9,154,20
9,12,154,20
10,13,154,20
11,18,154,20
12,19,154,20
13,8,163,20
14,9,163,20
15,12,163,20
16,13,163,20
17,18,163,20
18,19,163,20
19,8,172,20
20,9,172,20
21,12,172,20
22,13,172,20
23,18,172,20
24,19,172,20
25,8,129,20
26,9,129,20
27,12,129,20
28,13,129,20
29,18,129,20
30,19,129,20
31,8,156,20
32,9,156,20
33,12,156,20
34,13,156,20
35,18,156,20
36,19,156,20
37,8,165,20
38,9,165,20
39,12,165,20
40,13,165,20
41,18,165,20
42,19,165,20
43,8,128,20
44,9,128,20
45,12,128,20
46,13,128,20
47,18,128,20
48,19,128,20
49,8,155,20
50,9,155,20
51,12,155,20
52,13,155,20
53,18,155,20
54,19,155,20
55,8,164,20
56,9,164,20
57,12,164,20
58,13,164,20
59,18,164,20
60,19,164,20
61,8,126,20
62,9,126,20
63,12,126,20
64,13,126,20
65,18,126,20
66,19,126,20
67,34,135,20
68,35,135,20
69,38,135,20
70,39,135,20
71,44,135,20
72,45,135,20
73,34,157,20
74,35,157,20
75,38,157,20
76,39,157,20
77,44,157,20
78,45,157,20
79,34,169,20
80,35,169,20
81,38,169,20
82,39,169,20
83,44,169,20
84,45,169,20
85,34,137,20
86,35,137,20
87,38,137,20
88,39,137,20
89,44,137,20
90,45,137,20
91,34,159,20
92,35,159,20
93,38,159,20
94,39,159,20
95,44,159,20
96,45,159,20
97,34,171,20
98,35,171,20
99,38,171,20
100,39,171,20
101,44,171,20
102,45,171,20
103,34,136,20
104,35,136,20
105,38,136,20
106,39,136,20
107,44,136,20
108,45,136,20
109,34,158,20
110,35,158,20
111,38,158,20
112,39,158,20
113,44,158,20
114,45,158,20
115,34,170,20
116,35,170,20
117,38,170,20
118,39,170,20
119,44,170,20
120,45,170,20
121,34,133,20
122,35,133,20
123,38,133,20
124,39,133,20
125,44,133,20
126,45,133,20
127,34,134,20
128,35,134,20
129,38,134,20
130,39,134,20
131,44,134,20
132,45,134,20
133,60,143,20
134,61,143,20
135,64,143,20
136,65,143,20
137,70,143,20
138,71,143,20
139,60,160,20
140,61,160,20
141,64,160,20
142,65,160,20
143,70,160,20
144,71,160,20
145,60,166,20
146,61,166,20
147,64,166,20
148,65,166,20
149,70,166,20
150,71,166,20
151,60,141,20
152,61,141,20
153,64,141,20
154,65,141,20
155,70,141,20
156,71,141,20
157,60,145,20
158,61,145,20
159,64,145,20
160,65,145,20
161,70,145,20
162,71,145,20
163,60,162,20
164,61,162,20
165,64,162,20
166,65,162,20
167,70,162,20
168,71,162,20
169,60,168,20
170,61,168,20
171,64,168,20
172,65,168,20
173,70,168,20
174,71,168,20
175,60,144,20
176,61,144,20
177,64,144,20
178,65,144,20
179,70,144,20
180,71,144,20
181,60,161,20
182,61,161,20
183,64,161,20
184,65,161,20
185,70,161,20
186,71,161,20
187,60,167,20
