id,create_option_id,material_option_id,over_mix_id,rate
1,1,1,,100
2,2,2,,60
3,,2,2,80
4,,2,3,100
5,2,1,,0
6,,1,5,60
7,,1,6,80
8,3,3,,60
9,,3,8,80
10,,3,9,100
11,3,2,,0
12,,2,11,30
13,,2,12,50
14,4,4,,40
15,,4,14,60
16,,4,15,80
17,4,3,,0
18,,3,17,20
19,,3,18,40
20,5,5,,20
21,,5,20,40
22,,5,21,60
23,5,4,,0
24,,4,23,10
25,,4,24,30
26,6,6,,0
27,7,7,,100
28,8,8,,60
29,,8,28,80
30,,8,29,100
31,8,8,,0
32,,8,31,60
33,,8,32,80
34,9,9,,60
35,,9,34,80
36,,9,35,100
37,9,8,,0
38,,8,37,30
39,,8,38,50
40,10,10,,40
41,,10,40,60
42,,10,41,80
43,10,9,,0
44,,9,43,20
45,,9,44,40
46,11,11,,20
47,,11,46,40
48,,11,47,60
49,11,10,,0
50,,10,49,10
51,,10,50,30
52,12,12,,0
53,13,13,,100
54,14,14,,60
55,,14,54,80
56,,14,55,100
57,14,13,,0
58,,13,57,60
59,,13,58,80
60,15,15,,60
61,,15,60,80
62,,15,61,100
63,15,14,,0
64,,14,63,30
65,,14,64,50
66,16,16,,40
67,,16,66,60
68,,16,67,80
69,16,15,,0
70,,15,69,20
71,,15,70,40
72,17,17,,20
73,,17,72,40
74,,17,73,60
75,17,16,,0
76,,16,75,10
77,,16,76,30
78,18,18,,0
